db_id	name	original_type	canonical_type	changed
506	ביראָ ביאָזשאַנער יידישן מלוכה-טעאַטער	Theatre	Theatre	
507	נאָוואָשטשי	Theatre	Theatre	
508	ווילנער דרוקער-פאַריין	Union	Labour	yes
509	ווערדי-טעאַטער	Theatre	Theatre	
510	מאָלדעוואָנישער יידישער מלוכה-טעאַטער	Theatre	Theatre	
511	"""וויסקאָנסין פלעיערס"""	troupe	Traveling Company	yes
512	"""ייד. דראָמ. ליט. געזעל."""	theatre	Theatre	yes
513	"""49טע סטריט""-טעאַטער"	theatre	Theatre	yes
514	'אָפּאָלאַ'-טעאַטער	theatre	Theatre	yes
515	קיעווער יידישן מלוכה-טעאַטער	theatre	Theatre	yes
516	עליזעום	theatre	Theatre	yes
517	ווילנער פילהאַרמאָניע	theatre	Theatre	yes
518	קאָוונער יידישן מלוכה-טעאַטער	theatre	Theatre	yes
519	ווילנער יידישן מלוכה-טעאַטער	theatre	Theatre	yes
520	לאָנדייל-טעאַטער	theatre	Theatre	yes
521	כאַרבינער טרופּע	troupe	Traveling Company	yes
522	גאָלדענע פונקען			
523	טרופּע פֿון טרילינג	troupe	Traveling Company	yes
524	וואָנדערטרופּע	troupe	Traveling Company	yes
525	לוואָווער יידישן מלוכה-טעאַטער	theatre	Theatre	yes
526	אָדאָן-טעאַטער	theatre	Theatre	yes
527	אוראַניאַ-טעאַטער	theatre	Theatre	yes
528	רענד-טעאַטער	theatre	Theatre	yes
529	קאָרט-טעאַטער	theatre	Theatre	yes
530	בר אילן אוניווערזיטעט	school	Education	yes
531	טרופּע פֿון קאַדיש-כאַש	troupe	Traveling Company	yes
532	יאָסער אָפּערע	theatre	Theatre	yes
533	מעלצערס טרופּע	troupe	Traveling Company	yes
534	וואַרשעווער יידישן מלוכה-טעאַטער	theatre	Theatre	yes
535	וויניצער יידישן מלוכה-טעאַטער	theatre	Theatre	yes
536	ריגער יידישן מעוטים-טעאַטער	theatre	Theatre	yes
537	ווייטעבסקער יידישן מלוכה-טעאַטער	theatre	Theatre	yes
538	זשיטאָמירער יידישן מלוכה-טעאַטער	theatre	Theatre	yes
539	ביאַליסטאָקער יידישן מלוכה-טעאַטער	theatre	Theatre	yes
