source_value	english_name	wikidata_qid	kima_id	kima_rom	kima_heb	match_status	entry_ids	contexts	is_new_variant	source
באָרשטשאָוו	Borshchiv	Q148923	19333	Borshchiv (Ternopilʹsʹka oblastʹ, Ukraine)	בורשניב (טרנופיל, אוקראינה)	NAME_EXACT	1-facs_36_tr_1740520951	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
בערעזנא	Berezna	Q4084462	18951	Berezna (Chernihivsʹka oblastʹ, Ukraine)	ברז'נה (מחוז צ'רנוביץ, אוקראינה)	NAME_EXACT	1-facs_377_r	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
יאַנאָווע	Jonava	Q743218	17163	Jonava (Lithuania)	ינובה (ליטא)	WIKIDATA	1-facs_378_tr_1739715272	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
אָקערמאָן	Bilhorod-Dnistrovskyi	Q672990	16672	Bilhorod-Dnistrovsʹkyĭ (Ukraine)	בילהורוד-דניסטרובסקי (אוקראינה)	WIKIDATA	1-facs_37_tr_1740520982	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
סעקורעני	Sokyriany	Q149173	16480	Sokyri︠a︡ny (Ukraine)	סקורן (אוקראינה)	NAME_EXACT	1-facs_381_r_2	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
קאָלאָמעא	Kolomyia	Q52193	1674	Kolomyi︠a︡ (Ukraine)	קולומיה (אוקראינה)	WIKIDATA	1-facs_401_r_1	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
סקאָלע	Skole	Q913962	17382	Skole (Ukraine)	סקולה (אוקראינה)	WIKIDATA	1-facs_404_r_8	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
סובאָלק	Suwałki	Q236083	30	Suwałki (Poland)	סובלקי (פולין)	WIKIDATA	1-facs_40_tr_1740521035|1-facs_265_tr_1741260323|2-facs_220_tr_1744280761	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
סאָמבאָר	Sambir	Q156593	12414	Sambir (Sambirsʹkyĭ raĭon, Ukraine)	סמבור (אוקראינה)	NAME_EXACT	1-facs_410_tr_1739715090|1-facs_300_tr_1741260418	birth|death	yes	Zylbercweig lexicon (Maaty reconciliation)
קיליע	Kiliia	Q889966	19470	Kilii︠a︡ (Ukraine)	קילייה (אוקראינה)	WIKIDATA	1-facs_75_tr_1740521172	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
קאָנאַטאָפּ	Konotop	Q162083	17312	Konotop (Sumsʹka oblastʹ, Ukraine)	קונוטופ (מחוז סומי, אוקראינה)	WIKIDATA	1-facs_85_r_6|4-facs_102_r_1	birth	yes	Zylbercweig lexicon (Maaty reconciliation)
קאָזיאַטיין	Koziatyn	Q369383	73271	Kozi︠a︡tyn (Vinnyt︠s︡ʹka oblastʹ, Ukraine)	קוזיאטין (מחוז ויניצה, אוקראינה)	WIKIDATA	1-facs_91_tr_1740521127|2-facs_402_tr_1744366863|2-facs_402_tr_1744366863	death|burial	yes	Zylbercweig lexicon (Maaty reconciliation)
